symbol	GSM2805414_Ad-LacZ.CEL
AMBP	4.63396517066554
AMBRA1	5.56469477081758
AMD1	7.57106420906404
AMDHD1	3.50518532530405
AMDHD2	6.48628059114667
AMELX	2.95702656720714
AMELY	3.97131775791213
AMER1	3.18867242522585
AMER2	2.52361271094291
AMER3	4.04538510778212
AMFR	6.64999678224599
AMH	5.31260674907596
AMHR2	5.57719405048152
AMICA1	4.11794509479741
AMIGO1	3.74173351593308
AMIGO2	9.51519170744909
AMIGO3	6.0166351110202
AMMECR1	5.91401815768169
AMMECR1L	8.94175844084529
AMN	5.66511497250041
AMN1	6.53515448189316
AMOT	3.03337894032123
AMOTL1	7.06106893071015
AMOTL2	9.45890327435217
AMPD1	3.18867242522585
AMPD2	7.52153941793695
AMPD3	4.72202419288087
AMPH	5.27584495978125
AMT	6.31727201109934
AMY1A	2.32541726541788
AMY1B	2.32541726541788
AMY1C	2.32541726541788
AMY2A	2.32541726541788
AMY2B	4.715622187058
AMZ1	5.41708912321029
AMZ2	9.67726549657091
AMZ2P1	7.2922500998249
ANAPC1	7.67060121731455
ANAPC10	6.2739967123459
ANAPC11	7.49116170098185
ANAPC13	6.42781924372592
ANAPC15	8.112398991249
ANAPC16	9.17973027698316
ANAPC2	7.18727514136415
ANAPC4	7.6822360215089
ANAPC5	8.26724192235483
ANAPC7	7.39873818219396
ANG	5.34845643159295
ANGEL1	6.28062655049547
ANGEL2	6.18472121074123
ANGPT1	6.16475064620877
ANGPT2	7.45359174715116
ANGPT4	4.94257148167468
ANGPTL1	6.2619487465567
ANGPTL2	7.73972815260349
ANGPTL3	2.66287249773403
ANGPTL4	9.07560056974173
ANGPTL6	5.27584495978125
ANGPTL7	3.89589989630613
ANHX	4.93781578393325
ANK1	4.18886321578016
ANK2	3.16312660041179
ANK3	3.50518532530405
ANKAR	2.64122191631251
ANKDD1A	4.77519727453024
ANKEF1	3.688767820503
ANKFN1	2.59254649341595
ANKFY1	6.33322703382192
ANKH	5.03325790723623
ANKHD1	6.93710076219945
ANKHD1-EIF4EBP3	7.17734207465789
ANKIB1	10.0616982133793
ANKLE1	2.95702656720714
ANKLE2	6.65452473375195
ANKMY1	4.25802935653126
ANKMY2	8.30716541007609
ANKRA2	9.04095331244064
ANKRD1	6.2619487465567
ANKRD10	5.65261011808078
ANKRD10-IT1	6.12508519084628
ANKRD11	7.32512515911927
ANKRD12	7.01366107256101
ANKRD13A	6.10967298743473
ANKRD13B	4.84605736296546
ANKRD13C	6.90378820999456
ANKRD13D	4.89507984215023
ANKRD16	5.81431912119992
ANKRD17	8.7029884299225
ANKRD18A	2.92044715191709
ANKRD18B	4.11794509479741
ANKRD19P	5.27584495978125
ANKRD2	4.3253588596564
ANKRD20A1	2.52361271094291
ANKRD20A11P	6.06294788585188
ANKRD20A12P	4.12074694375066
ANKRD20A2	2.52361271094291
ANKRD20A3	2.52361271094291
ANKRD20A4	2.52361271094291
ANKRD20A5P	3.03337894032123
ANKRD20A8P	2.32541726541788
ANKRD20A9P	5.72088661571006
ANKRD22	3.78538844254937
ANKRD23	4.18886321578016
ANKRD24	4.63321174135031
ANKRD26	4.69075570396686
ANKRD26P3	3.03337894032123
ANKRD27	7.43247699290102
ANKRD28	6.26189823341999
ANKRD29	2.60964058240997
ANKRD30A	2.3900334125817
ANKRD30B	2.49414488157596
ANKRD30BL	3.26732057569154
ANKRD30BP2	3.30686731052132
ANKRD30BP3	2.88170408475174
ANKRD31	2.88170408475174
ANKRD32	3.90381978151573
ANKRD33	4.63321174135031
ANKRD33B	6.22385166618304
ANKRD34A	4.39079260185657
ANKRD34C	3.66338070308954
ANKRD35	4.18886321578016
ANKRD36	3.11986650203897
ANKRD36B	4.25802935653126
ANKRD36BP2	2.32541726541788
ANKRD36C	3.42576793345345
ANKRD37	5.33586111751356
ANKRD39	5.34845643159295
ANKRD40	7.2263373159463
ANKRD44	3.42576793345345
